feature,n,correlation,slope,intercept,r_squared
ドライブインパクト_受けた回数,91,-0.5465891892002003,-6223.674759773033,16796.827549827492,0.2987597417505323
パニッシュカウンターを受けた回数,91,-0.5082618649051157,-10116.78967164786,16639.90908958887,0.2583301233168261
ドライブインパクト,91,-0.45985878211431436,-284.28286534082446,14286.868892304245,0.21147009948766043
ドライブインパクト_決めた回数,91,-0.44039265998614335,-2736.148360122248,13746.386920595392,0.19394569496967087
キャンセルドライブラッシュ,91,0.4019154197086278,208.92967545928366,7331.674290414841,0.16153600459956247
パニッシュカウンターを決めた回数,91,-0.385757533142317,-4643.4642430358235,13636.542119659027,0.14880887437604579
投げ抜け回数,91,0.3822728677857884,11312.512920104004,6268.09159631496,0.14613254544517085
Lv1,91,-0.32798233316412256,-106.01593711111359,14634.805783775362,0.10757241086778149
パリィドライブラッシュ,91,0.3225850731323874,701.5556825548389,7528.649811069577,0.10406112940782772
ジャストパリィ回数,91,0.2853987712107893,10085.59873661082,8518.506591595715,0.08145245860862847
Lv3,91,0.27605031081612413,129.679896776198,6581.896368334519,0.07620377410167874
ランクマッチプレイ回数,91,0.25188613820287525,0.3594482869568377,9162.70222309096,0.06344662661875797
スタンさせられた回数,91,0.24634699907255392,39521.17924528302,8781.93396226415,0.06068684395205288
Lv2,91,0.2430665972691974,176.20705531155738,7414.838665598316,0.05908137070802621
相手にドライブインパクトで返された回数,91,-0.23904364583092202,-10706.395955882354,12364.532830882352,0.057141864612139284
相手を追い詰めている時間,91,0.23338356095869453,568.5175883878314,6324.53268782618,0.054467886525760685
ドライブリバーサル,91,-0.2183150737189854,-590.5311689130825,11274.782209360315,0.04766147141292603
ダメージ,91,-0.21455075313495922,-159.53678262934022,15455.644225603242,0.046032025670778215
成功回数,91,0.17763625748892908,1664.6372321488923,8286.5945755423,0.031554639974673115
使用回数,91,-0.1660692603716,-4086.1088673886034,11021.888469731935,0.027578999240370272
投げ_受けた回数,91,-0.16356690024259993,-1987.6446820027065,15188.345106901219,0.026754130854972635
相手に追い詰められている時間,91,0.15406394706274743,384.33717530275277,7434.304734890649,0.02373569978455304
バトルハブマッチプレイ回数,91,-0.14909406936581754,-0.4787503713342344,10516.111889334177,0.022229041520059212
カジュアルマッチプレイ回数,91,0.1405978925089141,1.3889616719778959,9842.334111723458,0.019767767377948164
自分のドライブパリィを投げられた,91,-0.12700663528177628,-6680.384849406754,11271.618801338605,0.016130685405598137
累計プレイポイント,91,0.12009726886976779,0.0035015297514051857,9724.346759914637,0.014423353989977296
スタンさせた回数,91,0.11650600234342753,17936.850564726323,9588.381407471763,0.013573648582046741
相手のドライブインパクトに決めた回数,91,-0.10784201976351382,-5746.249349568114,11306.766364866271,0.011629901226674105
オーバードライブアーツ,91,0.07517074089993822,39.14911710646888,9323.216813464975,0.005650640287445645
CA,91,0.07079454266007379,54.68883618061147,9481.204736983125,0.0050118672704490075
ドライブパリィ,91,0.0679273399482809,97.94746120993801,9307.554946401882,0.004614123512449319
相手のドライブパリィを投げた,91,-0.03905275673771363,-2417.053496208928,10609.155012636898,0.0015251178088150372
投げ_決めた回数,91,-0.0036299610528397236,-21.26739634539914,10316.53231904718,1.3176617245133275e-05
ルームマッチプレイ回数,91,-0.003509872061399551,-0.006497286016251239,10267.377905669335,1.2319201887393134e-05
